id,description,name,promoCode,currency,isPublic,shouldSynchronize,amountDiscount,percentDiscount,stripeCouponId,stripePromoCodeId,createdAt,updatedAt,deletedAt,shouldStartTrial,duration,project
30,,FVPLUS40_FVPLUS_MONTHLY,FVPLUS40,EUR,t,t,4.00,40,vlBatAtG,promo_1Q7ZGDGtfooAUczLqIKbdsrd,2024-10-08 08:37:45.311978,2025-12-03 13:42:57.491051,,t,once,franceverif
31,,FVPLUS40_FVPLUS,FVPLUS40,EUR,t,t,48.00,40,ZGCbhl9V,promo_1Q7Z3rGtfooAUczLAHJ511lJ,2024-10-08 08:37:45.783131,2025-12-03 13:42:57.672016,,t,once,franceverif
32,,FVPLUS40_FVPLUS_2Y,FVPLUS40,EUR,t,t,96.00,40,6HrqHOuN,promo_1Q7Z3tGtfooAUczLCD060hNZ,2024-10-08 08:37:46.158548,2025-12-03 13:42:57.971548,,t,once,franceverif
36,,FVPLUS50_FVPLUS_MONTHLY,FVPLUS50,EUR,t,t,5.00,50,hV3b0E7g,promo_1Q7ZFfGtfooAUczL5mnObvCt,2024-10-08 08:37:47.954181,2025-12-03 13:42:58.093953,,t,once,franceverif
37,,FVPLUS50_FVPLUS,FVPLUS50,EUR,t,t,60.00,50,HNoZuqDC,promo_1Q7ZFgGtfooAUczLXs36Hskk,2024-10-08 08:37:48.407953,2025-12-03 13:42:58.195615,,t,once,franceverif
38,,FVPLUS50_FVPLUS_2Y,FVPLUS50,EUR,t,t,120.00,50,4jnCahr5,promo_1Q7ZFiGtfooAUczLEXySMRDX,2024-10-08 08:37:48.717197,2025-12-03 13:42:58.29621,,t,once,franceverif
42,,FVPLUS60_FVPLUS_MONTHLY,FVPLUS60,EUR,t,t,6.00,60,7Ntum88j,promo_1Q7ZFlGtfooAUczLkt5h9P6q,2024-10-08 08:37:50.161075,2025-12-03 13:42:58.472941,,t,once,franceverif
43,,FVPLUS60_FVPLUS,FVPLUS60,EUR,t,t,72.00,60,kfDHuElk,promo_1Q7ZFmGtfooAUczLOX8K5ACp,2024-10-08 08:37:50.591222,2025-12-03 13:42:58.67202,,t,once,franceverif
44,,FVPLUS60_FVPLUS_2Y,FVPLUS60,EUR,t,t,144.00,60,eXL61Jxo,promo_1Q7ZFoGtfooAUczL0MSNlfkF,2024-10-08 08:37:50.938479,2025-12-03 13:42:58.795408,,t,once,franceverif
48,,FVPLUS70_FVPLUS_MONTHLY,FVPLUS70,EUR,t,t,7.00,70,91t55ToN,promo_1Q7ZFsGtfooAUczLcqKs7kxJ,2024-10-08 08:37:52.54553,2025-12-03 13:42:59.072431,,t,once,franceverif
49,,FVPLUS70_FVPLUS,FVPLUS70,EUR,t,t,84.00,70,jbwO0sCt,promo_1Q7ZFtGtfooAUczL4oPttnqV,2024-10-08 08:37:52.937465,2025-12-03 13:42:59.096679,,t,once,franceverif
50,,FVPLUS70_FVPLUS_2Y,FVPLUS70,EUR,t,t,168.00,70,BE3HvTjU,promo_1Q7ZFvGtfooAUczLa9qwgr5b,2024-10-08 08:37:53.375744,2025-12-03 13:42:59.293039,,t,once,franceverif
54,,FVPLUS75_FVPLUS_MONTHLY,FVPLUS75,EUR,t,t,7.50,75,UL06KMQQ,promo_1Q7ZFzGtfooAUczLUyGW74P6,2024-10-08 08:37:54.79412,2025-12-03 13:42:59.395357,,t,once,franceverif
55,,FVPLUS75_FVPLUS,FVPLUS75,EUR,t,t,90.00,75,ki3Px7UZ,promo_1Q7ZG0GtfooAUczLDWTzkbXb,2024-10-08 08:37:55.248133,2025-12-03 13:42:59.498873,,t,once,franceverif
56,,FVPLUS75_FVPLUS_2Y,FVPLUS75,EUR,t,t,180.00,75,YsruZSJ4,promo_1Q7ZG2GtfooAUczLC317o1C4,2024-10-08 08:37:55.598333,2025-12-03 13:42:59.692494,,t,once,franceverif
60,,INVEST_FVPLUS_MONTHLY,INVEST,EUR,t,t,5.00,50,co2cbbe7,promo_1Q7ZG6GtfooAUczLHcEXczAE,2024-10-08 08:37:57.370231,2025-12-03 13:42:59.874426,,t,forever,franceverif
61,,INVEST_FVPLUS,INVEST,EUR,t,t,60.00,50,3uPtY7mG,promo_1Q7ZG7GtfooAUczLCriwCDWm,2024-10-08 08:37:57.730413,2025-12-03 13:42:59.896222,,t,forever,franceverif
62,,INVEST_FVPLUS_2Y,INVEST,EUR,t,t,120.00,50,oqIohpxP,promo_1Q7ZG9GtfooAUczLeqoOXyqG,2024-10-08 08:37:58.309544,2025-12-03 13:43:00.092813,,t,forever,franceverif
66,,AW99_FVPLUS_MONTHLY,AW99,EUR,t,t,9.90,99,kMEn5RRG,promo_1Q7ZGFGtfooAUczLjRV8abTe,2024-10-08 08:37:59.885336,2025-12-03 13:43:00.292179,,t,forever,franceverif
67,,AW99_FVPLUS,AW99,EUR,t,t,118.80,99,1rEqe9ww,promo_1Q7ZGHGtfooAUczLfGiCUTTQ,2024-10-08 08:38:00.345539,2025-12-03 13:43:00.493378,,t,forever,franceverif
68,,AW99_FVPLUS_2Y,AW99,EUR,t,t,237.00,99,VMbSZ0z2,promo_1Q7ZGIGtfooAUczLgud71skt,2024-10-08 08:38:00.745295,2025-12-03 13:43:00.691105,,t,forever,franceverif
72,,old_BASE_UPPLUS_MONTHLY_OLD,BASE,USD,t,t,23.30,,oZyKKjul,promo_1QfM2xGPQMseK89OeUlxq7LG,2025-01-03 13:10:21.38116,2025-01-20 09:07:30.819116,2025-01-20 09:07:30.819116,t,forever,controlplus
73,,BASE_UPPLUS_OLD,BASE,USD,t,t,349.49,,s2B0VX5b,promo_1QfM2yGPQMseK89OeDUE5Azb,2025-01-03 13:10:21.795287,2025-06-05 10:45:03.622588,,t,forever,controlplus
74,,BASE_UPPLUS_2_OLD,BASE,USD,t,t,60.00,,hdWBDHhB,promo_1QjGyZGPQMseK89OYqIHgjGy,2025-01-20 09:07:31.373029,2025-06-05 10:45:03.907137,,t,forever,controlplus
75,,BASE_UPPLUS_MONTHLY_OLD,BASE,USD,t,t,28.30,,H6WF8CDL,promo_1QfM2xGPQMseK89OeUlxq7LG,2025-02-07 10:29:24.530225,2025-06-05 10:45:03.340592,,t,forever,controlplus
76,,BASE_UPPLUS_QUARTERLY_OLD,BASE,USD,t,t,9.87,,fZHP8gNQ,promo_1QporxGPQMseK89Ozgd6PZSG,2025-02-07 10:29:25.227529,2025-06-05 10:45:04.188428,,t,forever,controlplus
