id,title,description,name,currency,isPublic,shouldSynchronize,price,taxPercent,total,stripeProductId,stripePriceId,createdAt,updatedAt,deletedAt,startPrice,startTotal,stripeStartPriceId,taxId,project,interval,intervalCount,productId,type
2,FV+ Subscription,FV+ Subscription Plan,yearly,EUR,t,f,110.83,20.00,133.00,prod_P1ZJtsFJwdQY0Z,price_1OJc3rGtfooAUczLSF3jF5w1,2023-11-20 12:11:40.210854,2023-11-20 12:17:28.243704,,110.83,133.00,price_1ODWAvGtfooAUczLIxSBu6yL,1,franceverif,,1,,main
3,FV+ Subscription,FV+ Subscription Plan,fvplus,EUR,t,t,99.99,20.00,119.99,prod_P2wjyncyASiiJt,price_1PZ4w0GtfooAUczLwTdn65fU,2023-11-20 12:11:40.210854,2025-12-03 13:42:54.294003,,99.99,119.99,price_1PZ4w0GtfooAUczLwTdn65fU,3,franceverif,year,1,,main
4,FV+ Subscription monthly,FV+ Subscription Monthly Plan,fvplus_monthly,EUR,t,t,8.33,20.00,9.99,prod_PbkCam5kRzKrU8,price_1OmYbNGtfooAUczL0XwlvIx5,2024-02-22 07:28:27.661862,2025-12-03 13:42:54.274736,,8.33,9.99,price_1OmYbNGtfooAUczL0XwlvIx5,3,franceverif,month,1,,main
5,FV+ Subscription,FV+ Subscription Plan,fvplus_m,EUR,t,t,8.33,20.00,9.99,prod_P2wjyncyASiiJt,price_1OwMRTGtfooAUczLXLjjYOQv,2024-03-20 10:32:43.650914,2024-03-20 10:32:43.650914,,8.33,9.99,price_1OwMRTGtfooAUczLXLjjYOQv,1,franceverif,,1,,main
6,FV+ Subscription Apple,FV+ Subscription Plan Apple,fvplus_test,EUR,t,f,47.99,0.00,47.99,,,2024-03-20 10:32:43.650914,2024-03-20 10:32:43.650914,,47.99,47.99,,3,franceverif,,1,,main
7,FV+ Subscription Apple,FV+ Subscription Plan Apple,fvplus_apple_y,EUR,t,f,47.99,0.00,47.99,,,2024-03-20 10:32:43.650914,2024-03-20 10:32:43.650914,,47.99,47.99,,3,franceverif,year,1,,main
8,FV+ Subscription Apple,FV+ Subscription Plan Apple,fvplus_apple_test_y,EUR,t,f,47.99,0.00,47.99,,,2024-03-20 10:32:43.650914,2024-03-20 10:32:43.650914,,47.99,47.99,,3,franceverif,year,1,,main
9,FV+ Subscription Apple,FV+ Subscription Plan Apple,fvplus_apple_test_m,EUR,t,f,0.00,0.00,0.00,,,2024-06-28 09:14:44.811921,2024-06-28 09:14:44.811921,,0.00,0.00,,3,franceverif,month,2,,main
11,FV+ Subscription,FV+ Subscription Plan,fvplus_y_usd,USD,t,f,99.99,20.00,119.99,prod_P2wjyncyASiiJt,price_1Piy2AGtfooAUczLFVyfK2VO,2024-08-01 12:24:00.39674,2024-08-01 12:24:00.39674,,99.99,119.99,price_1Piy2AGtfooAUczLFVyfK2VO,3,franceverif,,1,,main
12,FV+ Subscription,FV+ Subscription Plan,fvplus_m_usd,USD,t,f,8.33,20.00,9.99,prod_P2wjyncyASiiJt,price_1Piy5MGtfooAUczL6vULpLit,2024-08-01 12:26:52.67591,2024-08-01 12:26:52.67591,,8.33,11.99,price_1Piy5MGtfooAUczL6vULpLit,3,franceverif,,1,,main
13,FV+ Subscription 2 years,FV+ Subscription 2 years Plan,fvplus_2y,EUR,t,t,200.00,20.00,240.00,prod_Qk8hranvfd6L7n,price_1PvEaGGtfooAUczL3texMnxh,2024-08-26 12:17:57.187553,2025-12-03 13:42:54.375776,,200.00,240.00,price_1PvEaGGtfooAUczL3texMnxh,3,franceverif,year,2,,main
14,FV+ Subscription 179,FV+ Subscription Plan 179,fvplus_179,EUR,t,t,149.00,20.00,179.00,prod_QxLfcrgSAH48Yy,price_1Q5Qy5GtfooAUczLKhoBhrBd,2023-11-20 12:11:40.210854,2023-12-15 07:10:37.838922,,149.00,179.00,price_1Q5Qy5GtfooAUczLKhoBhrBd,3,franceverif,,1,,main
15,FV+ Subscription 437,FV+ Subscription Plan 437,fvplus_437,EUR,t,t,364.00,20.00,437.00,prod_QxLgDoC9Tokh0A,price_1Q5QzUGtfooAUczLjLzypvbM,2023-11-20 12:11:40.210854,2023-12-15 07:10:37.838922,,364.00,437.00,price_1Q5QzUGtfooAUczLjLzypvbM,3,franceverif,,1,,main
16,FV+ Subscription 587,FV+ Subscription Plan 587,fvplus_587,EUR,t,t,489.00,20.00,587.00,prod_QxLhnx4eqYG6Et,price_1Q5R0NGtfooAUczLxIceuGOf,2023-11-20 12:11:40.210854,2023-12-15 07:10:37.838922,,489.00,587.00,price_1Q5R0NGtfooAUczLxIceuGOf,3,franceverif,,1,,main
20,UP+ Subscription Apple,UP+ Subscription Plan Apple,usa_protect_apple_main_test_month,USD,t,f,9.99,0.00,9.99,,,2024-10-21 08:14:06.809206,2024-10-21 08:14:06.809206,,9.99,9.99,,4,controlplus,month,1,,main
21,FV+ Subscription monthly,FV+ Subscription Monthly Plan,fvplus_apple_m,EUR,t,f,9.99,0.00,9.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,9.99,9.99,,3,franceverif,month,1,,main
22,FranceVerif+ Montly_1,FranceVerif+ Montly_1,fvplus_apple_m_1,EUR,t,f,9.99,0.00,9.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,9.99,9.99,,3,franceverif,month,1,,main
23,FranceVerif+ Montly_2,FranceVerif+ Montly_2,fvplus_apple_m_2,EUR,t,f,12.99,0.00,12.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,12.99,12.99,,3,franceverif,month,1,,main
24,FranceVerif+ Montly_3,FranceVerif+ Montly_3,fvplus_apple_m_3,EUR,t,f,14.99,0.00,14.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,14.99,14.99,,3,franceverif,month,1,,main
25,FranceVerif+ Montly_4,FranceVerif+ Montly_4,fvplus_apple_m_4,EUR,t,f,19.99,0.00,19.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,19.99,19.99,,3,franceverif,month,1,,main
26,FranceVerif+ Montly Plus,FranceVerif+ Montly Plus,fvplus_apple_m_plus,EUR,t,f,12.99,0.00,12.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,12.99,12.99,,3,franceverif,month,1,,main
27,FranceVerif+ Montly Plus_2,FranceVerif+ Montly Plus_2,fvplus_apple_m_plus_2,EUR,t,f,14.99,0.00,14.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,14.99,14.99,,3,franceverif,month,1,,main
28,FranceVerif+ Montly Plus_3,FranceVerif+ Montly Plus_3,fvplus_apple_m_plus_3,EUR,t,f,19.99,0.00,19.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,19.99,19.99,,3,franceverif,month,1,,main
29,FranceVerif+ Montly Plus_4,FranceVerif+ Montly Plus_4,fvplus_apple_m_plus_4,EUR,t,f,24.99,0.00,24.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,24.99,24.99,,3,franceverif,month,1,,main
30,FranceVerif+ Annually_1,FranceVerif+ Annually_1,fvplus_apple_sub_y_1,EUR,t,f,49.99,0.00,49.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,49.99,49.99,,3,franceverif,year,1,,main
31,FranceVerif+ Annually_2,FranceVerif+ Annually_2,fvplus_apple_sub_y_2,EUR,t,f,59.99,0.00,59.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,59.99,59.99,,3,franceverif,year,1,,main
32,FranceVerif+ Annually_3,FranceVerif+ Annually_3,fvplus_apple_sub_y_3,EUR,t,f,49.99,0.00,49.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,49.99,49.99,,3,franceverif,year,1,,main
33,FranceVerif+ Annually_4,FranceVerif+ Annually_4,fvplus_apple_sub_y_4,EUR,t,f,59.99,0.00,59.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,59.99,59.99,,3,franceverif,year,1,,main
34,FranceVerif+ Annually_5,FranceVerif+ Annually_5,fvplus_apple_sub_y_5,EUR,t,f,69.99,0.00,69.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,69.99,69.99,,3,franceverif,year,1,,main
35,FranceVerif+ Annually_6,FranceVerif+ Annually_6,fvplus_apple_sub_y_6,EUR,t,f,119.99,0.00,119.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,119.99,119.99,,3,franceverif,year,1,,main
36,FranceVerif+ Annually_7,FranceVerif+ Annually_7,fvplus_apple_sub_y_7,EUR,t,f,119.99,0.00,119.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,119.99,119.99,,3,franceverif,year,1,,main
37,FranceVerif+ Annually Plus,FranceVerif+ Annually Plus,fvplus_apple_sub_y_plus,EUR,t,f,59.99,0.00,59.99,,,2024-10-22 13:57:30.577875,2024-10-22 13:57:30.577875,,59.99,59.99,,3,franceverif,year,1,,main
