id,title,name,currency,shouldSynchronize,price,taxPercent,total,stripeProductId,stripePriceId,type,createdAt,updatedAt,deletedAt,project,taxId
1,Family Protection Add-on,addon_family_14.99,USD,t,12.49,20.00,14.99,prod_Sp1xNdJNApZURb,price_1RtNtcQFjuwkEDFb4iJ8dxXR,addon_family,2025-08-07 06:52:48.64843,2025-12-03 13:43:03.79726,,controlplus,9
2,Family Protection Add-on,addon_family_19.99,USD,t,16.66,20.00,19.99,prod_Sp1x37ZYlsvppI,price_1RtNtaQFjuwkEDFbraWl1sR1,addon_family,2025-08-07 06:52:48.650207,2025-12-03 13:43:03.894969,,controlplus,9
3,Family Protection Add-on,addon_family_34.99,USD,t,29.16,20.00,34.99,prod_Sp1xblyUOtL8FR,price_1RtNtTQFjuwkEDFb3NK5xDCU,addon_family,2025-08-07 06:52:48.651377,2025-12-03 13:43:04.071941,,controlplus,9
4,Family Protection Add-on,addon_family_39.99,USD,t,33.33,20.00,39.99,prod_Sp1xfxL158mnfs,price_1RtNtYQFjuwkEDFbYzfBf2mU,addon_family,2025-08-07 06:52:48.652581,2025-12-03 13:43:04.07691,,controlplus,9
5,Family Protection Add-on,addon_family_49.99,USD,t,41.66,20.00,49.99,prod_Sp1xtDdmf75ypx,price_1RtNtWQFjuwkEDFbyVcN8sEQ,addon_family,2025-08-07 06:52:48.653743,2025-12-03 13:43:04.09487,,controlplus,9
6,Family Protection Add-on,addon_family_59.99,USD,t,49.99,20.00,59.99,prod_Sp1xIQDVWTUaJa,price_1RtNtVQFjuwkEDFboBw8ilLy,addon_family,2025-08-07 06:52:48.65487,2025-12-03 13:43:04.191245,,controlplus,9
7,Family Protection Add-on,addon_family_97.99,USD,t,81.66,20.00,97.99,prod_T1poGurqMLh8j7,price_1S5m8VQFjuwkEDFb5o1rKQyl,addon_family,2025-09-10 11:23:17.964012,2025-12-03 13:43:04.196845,,controlplus,9
8,Family Protection Add-on,addon_family_37.99,USD,t,31.66,20.00,37.99,prod_T1poqeWvTMoZnR,price_1S5m8TQFjuwkEDFb9U44NmPt,addon_family,2025-09-10 11:23:18.144053,2025-12-03 13:43:04.372021,,controlplus,9
9,Family Protection Add-on,addon_family_12.99,USD,t,10.83,20.00,12.99,prod_T1pobR4EkpnrfO,price_1S5m8SQFjuwkEDFbNRKcWILI,addon_family,2025-09-10 11:23:18.306946,2025-12-03 13:43:04.392353,,controlplus,9
10,Family Protection Add-on,addon_family_29.99,USD,t,24.99,20.00,29.99,prod_T1podbpe3DaewH,price_1S5m8QQFjuwkEDFbvVPI83lY,addon_family,2025-09-10 11:23:18.470617,2025-12-03 13:43:04.397037,,controlplus,9
